title,company,location,summary,salary
Data Scientist - Small Consultancy - $120K - $180K + Super,Hyre Pty Ltd,,An opportunity exists for a Data Scientist / Research scientist to join the team. You will be working with large sets of legacy data....,"$120,000 - $180,000 a year"
Lead Data Scientist,BCG Digital Ventures,,"As a Lead Data Scientist, you will:. As a Lead Data Scientist, you will need:. Work closely with cross-functional teams of data scientists, product managers,...",
Lead Data Scientist,KPMG,,"As a Data Scientist in our team, you will:. As a Data Scientist, you will work with a group of professionals in the form of strategists, statisticians,...",
POST DOCTORAL SCIENTIST OR RESEARCH ASSISTANT,Victor Chang Cardiac Research Institute,,"Are you an accomplished scientist with a talent for hands-on experimental work and complex data analysis? Graham, Executive Director of the VCCRI and Head,...",
Lead Data Scientist in Sydney,Metigy,,"What Data Scientist are you? Data Science in Sydney, Australia. Experience working with and creating data architectures....",
Data Scientist,Paxus,,"Lead the back-end integration of data and systems, and contribute to the design, development and implementation of data models....",
Digital Data Quality Officer,Domain Group,Sydney NSW,"Have the opportunity to work with a highly talented, motivated and fun data engineering / data scientist team....",
Research Scientist -- AI -- Medical Imaging,Sydney Neuroimaging Analysis Centre,Sydney NSW,Liaises with project Systems Engineer to implement and deliver the AI solutions to clinicians and clinical research scientists....,
Data Scientist,Cover Genius,Sydney NSW,We’re seeking a senior data scientist to support the product and marketing with insights gained from analysing company data....,
Data Scientist,Macquarie Group,Sydney NSW,5 + years' experience of building models and deriving insights in a position as an Analyst or a Data Scientist....,
Digital Data Quality Officer,Domain Group,Sydney NSW,"Have the opportunity to work with a highly talented, motivated and fun data engineering / data scientist team....",
Data CoE Expressions of Interest,Optus,Sydney NSW,"In this newly created team, our Data Centre of Excellence (COE) is searching for talented, creative people and people leaders with skills and proven experience...",
Data Scientist,Cover Genius,Sydney NSW,We’re seeking a senior data scientist to support the product and marketing with insights gained from analysing company data....,
Data Scientist,THE ICONIC,Sydney NSW,"We are looking for an experienced Data Scientist to work across several business areas including Recommendations, Customer Profiling, Forecasting and...",
Environmental Scientist - Boutique Environmental Consultancy,Ascension Global,Sydney NSW,*About your new Company: * This national environmental consultancy continues to grow and win new major projects. As such they wish to build on their existing...,"$70,000 - $110,000 a year"
Hospital Scientist - Cytology,Health Staffing,,"Hospital Scientist - Cytology. Our network of pathologists are supported by scientists, technicians and support staff who quickly and accurately assess samples...",
Senior Data Scientist,NRMA Motoring & Services,,"Develop and strengthen a team of data science professionals covering a range of disciplines including machine learning, data engineering, data modelling,...",
Data Engineer,Westpac Group,,"Work closely with data scientists and analysts within BPA to implement complex big data projects with a focus on collecting, parsing and managing large sets of...",
Applied Data Science Associate,DataRobot,,"Following the successful completion of this project, you will be promoted to Applied Data Scientist and work as a member of our Customer Facing Data Scientist...",
Data Scientist,Morgan McKinley,,This role is an excellent opportunity for an up and coming data scientist to apply their passion in a commercial environment....,"$100,000 - $120,000 a year"
