title,company,location,summary,salary
Data Scientist,Cover Genius,,We’re seeking a senior data scientist to support the product and marketing with insights gained from analysing company data....,
Data Analyst Graduate,Reece Group,,Data Analyst Graduate. The Graduate Data Analyst will assist in:. The Graduate Data Analyst forms part of our Pricing Team ....,
Data Scientist/ Engineer,Quantexa,,"Work very closely with data scientists to ensure efficient and effective delivery of solutions; Proven big data experience, either from an implementation or a...","$71,000 - $94,000 a year"
Financial Crime Data Scientist,ANZ Banking Group,,Data test automation capabilities. The Financial Crime Data Scientist will be part of the squad delivering the Financial Crime Data Hub (FCDH) capabilities with...,
Data Scientist - Australian Market Leader,Datasii,,"Due to continued growth in the Data Science team, an opportunity has arisen for an experienced Data Scientist to join this data science centre of excellence....","$120,000 - $135,000 a year"
Data Scientist,Freshwater Group,,The Data Scientist will:. Manage data sets. A Data Scientist is required for a wholesale electricity retailer that connects its customers to the wholesale...,
Freelance Data Scientist,mOOvement,Brisbane QLD,"Empowering cattle producers with real-time data on their livestock, providing more valuable insights by integrating partner data, and becoming the essential...","$90,000 - $110,000 a year"
Data Engineer,Deakin University,Geelong VIC,"Your responsibilities include developing, implementing and supporting real-time data analytic capabilities, through sourcing new data onto the platform,...",
Financial Crime Data Scientist,ANZ Banking Group,Melbourne VIC,Data test automation capabilities. The Financial Crime Data Scientist will be part of the squad delivering the Financial Crime Data Hub (FCDH) capabilities with...,
Freelance Data Scientist,mOOvement,Brisbane QLD,"Empowering cattle producers with real-time data on their livestock, providing more valuable insights by integrating partner data, and becoming the essential...","$90,000 - $110,000 a year"
Senior Data Scientist - Belong,Telstra,Melbourne City Centre VIC,"Ability to coach and mentor other data scientists. As our Senior Data Scientist, you will be part of our centralised Data n Analytics (DnA) team, embedded deep...",
Data Scientist,Cover Genius,Sydney NSW,We’re seeking a senior data scientist to support the product and marketing with insights gained from analysing company data....,
Financial Crime Data Scientist,ANZ Banking Group,Melbourne VIC,Data test automation capabilities. The Financial Crime Data Scientist will be part of the squad delivering the Financial Crime Data Hub (FCDH) capabilities with...,
Data Specialist and Scientist,Deakin University,Melbourne VIC,This role requires an experienced Data Specialist with sound knowledge working on the statistical data and involve in maintaining high standard of data record...,
Data Scientist,THE ICONIC,Sydney NSW,"We are looking for an experienced Data Scientist to work across several business areas including Recommendations, Customer Profiling, Forecasting and...",
QC Scientist,MSD,,As a QC Scientist your key responsibilities will include:. MSD Animal Health manufacturing site in Bendigo is currently recruiting for Quality Control Scientist...,
Senior Data Scientist - Belong,Telstra,,"Ability to coach and mentor other data scientists. As our Senior Data Scientist, you will be part of our centralised Data n Analytics (DnA) team, embedded deep...",
Data Scientist,Macquarie Group Limited,,5 + years' experience of building models and deriving insights in a position as an Analyst or a Data Scientist....,
Staff Scientist Bioinformatics,Australian National University,,"NCI is seeking a computational scientist with experience in bioinformatics to support growing requirements in the area of user support and training, and...",
Data Scientist - Leading Health/MedTech,Datasii,,Extensive experience as a Data Scientist or Data Analyst in a commercial analytics environment. Commercial Data Science:....,"$120,000 - $140,000 a year"
Senior Data Scientist,Shelde,,"As a Data Scientist at Shelde, you will form an integral part of our Data Analytics practice. You will have proven Data Science work experience, with a...",
Customer Facing Data Scientist,DataRobot,,Customer Facing Data Scientists (CFDSs) are critical to making our customers successful. Enabling customers to solve complex data science problems using...,
Data Scientist,C3,,"Collaborating with data and subject matter experts from C3 and its customer teams to seek, understand, validate, interpret, and correctly use new data elements....",
Junior Data Scientist,Xpand Group,,"Working directly with technology, data engineers, data scientists, key business stakeholders and the broader analytics community you will support, and guide...","$90,000 a year"
Senior Data Scientist,Envato,,"As a Senior Data Scientist at Envato, you will work closely with senior stakeholders, the Analytics Director, Product Managers, Data Scientists, Engineers and...","$110,000 - $150,000 a year"
Data Specialist and Scientist,Deakin University,Melbourne VIC,This role requires an experienced Data Specialist with sound knowledge working on the statistical data and involve in maintaining high standard of data record...,
Data Engineer,Deakin University,Geelong VIC,"Your responsibilities include developing, implementing and supporting real-time data analytic capabilities, through sourcing new data onto the platform,...",
Senior Data Scientist - Belong,Telstra,Melbourne City Centre VIC,"Ability to coach and mentor other data scientists. As our Senior Data Scientist, you will be part of our centralised Data n Analytics (DnA) team, embedded deep...",
Freelance Data Scientist,mOOvement,Brisbane QLD,"Empowering cattle producers with real-time data on their livestock, providing more valuable insights by integrating partner data, and becoming the essential...","$90,000 - $110,000 a year"
Data Scientist,Cover Genius,Sydney NSW,We’re seeking a senior data scientist to support the product and marketing with insights gained from analysing company data....,
Financial Crime Data Scientist,ANZ Banking Group,Melbourne VIC,Data test automation capabilities. The Financial Crime Data Scientist will be part of the squad delivering the Financial Crime Data Hub (FCDH) capabilities with...,
Agricultural Scientist (Agronomist) ANZSCO 234112,Viticultural Innovations,,"Maintain & manage Grow Data. Viticultural Innovations, a dedicated vineyard management company located in the heart of the Margaret River wine appellation, is...","$100,000 - $110,000 a year"
Customer Care Operator - Call Centre & Data Entry,Murdoch Childrens Research Institute,,"Customer Care Operator (Call Centre & Data Entry). Word processing and data input – knowledge of Labware LIMS, Word, Excel and Outlook....","$57,010 - $59,632 a year"
Data Scientist,Capgemini Australia,,Proven experience as a Data Scientist. We are looking for a Data Scientist to analyse large amounts of raw information to find patterns and build data products...,
Digital Data Scientist,The Cancer Council New South Wales,,"Advise and mentor internal customers on the subjects of digital data management, database structure and coding, historical use of data, test design and response...",
Senior Research Scientist (SciC),Victorian Government,,"SENIOR RESEARCH SCIENTIST. For a confidential discussion, please call Garry Rosewarne, Senior Research Scientist, on 0477 616 759....","$96,942 - $117,293 a year"
Data Analyst - Sydney,Australian Red Cross,,"Reporting to the Data Scientist, you will provide reporting, data and analysis support to the Engagement and Support Department, especially supporting the...",
Data Scientist,PBI Search,,"The successful Data Scientist will have a strong mathematical and/or physics background, able to build complex, non-linear models fitted to diverse and dirty...","$110,000 a year"
Data Scientist (Computer Vision & Deep Learning Specialist),Nearmap,,"You will work within a team of data scientists, statisticians and engineers. Experience with Keras, Tensorflow, 2D, multi-view and 3D data are highly valued....",
Clinical Measurement Scientist - Respiratory/Sleep,Queensland Government,,An exciting opportunity exists for a Clinical Measurement Scientist - Respiratory / Sleep to join our Respiratory & Sleep Unit....,
Research Scientist,Genics,,Trusted advisor in providing quality diagnostic data. Experience in data analysis and report writing for clients....,"$60,000 - $70,000 a year"
Data Scientist,THE ICONIC,Sydney NSW,"We are looking for an experienced Data Scientist to work across several business areas including Recommendations, Customer Profiling, Forecasting and...",
Data Specialist and Scientist,Deakin University,Melbourne VIC,This role requires an experienced Data Specialist with sound knowledge working on the statistical data and involve in maintaining high standard of data record...,
Data Scientist,THE ICONIC,Sydney NSW,"We are looking for an experienced Data Scientist to work across several business areas including Recommendations, Customer Profiling, Forecasting and...",
Data Scientist,Cover Genius,Sydney NSW,We’re seeking a senior data scientist to support the product and marketing with insights gained from analysing company data....,
Data Scientist,FourQuarters,,Data Scientist required to provide insightful predictive modelling solutions for a leading fintech. Building complex mathematical models using unstructured and...,"$125,000 a year"
Environmental Scientist,Coffey,,"Collating, analysing, interpreting and presenting data; This role is more than a desk job....",
Hospital Scientist - Cytology,NSW Health Pathology,,"Our network of pathologists are supported by scientists, technicians and support staff who quickly and accurately assess samples so clinical teams can make the...",$31.62 - $45.81 an hour
Senior Data Scientist,Shelde,,"As a Data Scientist at Shelde, you will form an integral part of our Data Analytics practice. You will have proven Data Science work experience, with a...",
Data Scientist,New Start,,"The Data Scientist is required to contribute to a successful business intelligence strategy. The primary focus will be in applying data mining techniques, doing...",
Data Scientist,Talent International,,"Clean, analyze, and prepare data ensuring data quality throughout the processes. Newly created role for a Data Scientist who thrives on problem solving to join...",$800 - $900 a day
Data Engineer - Machine Learning,CSIRO,,Creating distributed systems for data science at scale. Ability to build solutions to data engineering problems....,"$111,663 - $130,848 a year"
Research Scientist,Genics,,Trusted advisor in providing quality diagnostic data. Experience in data analysis and report writing for clients....,"$60,000 - $70,000 a year"
Quantitative Data Analyst,Lendi,,Using a commercial focus to turn data trends into actionable insights. Please accompany your application with a personalized cover letter addressed to the Head...,
Principal Research Scientist in Blockchain and Software Arch...,CSIRO,,"Data analytics platforms. Join CSIRO’s Data61, the largest data innovation group in Australia. In this prestigious position as a Principal Research Scientist...","$134,000 - $201,000 a year"
Senior Data Scientist - Belong,Telstra,Melbourne City Centre VIC,"Ability to coach and mentor other data scientists. As our Senior Data Scientist, you will be part of our centralised Data n Analytics (DnA) team, embedded deep...",
Freelance Data Scientist,mOOvement,Brisbane QLD,"Empowering cattle producers with real-time data on their livestock, providing more valuable insights by integrating partner data, and becoming the essential...","$90,000 - $110,000 a year"
Financial Crime Data Scientist,ANZ Banking Group,Melbourne VIC,Data test automation capabilities. The Financial Crime Data Scientist will be part of the squad delivering the Financial Crime Data Hub (FCDH) capabilities with...,
Data Scientist,Cover Genius,Sydney NSW,We’re seeking a senior data scientist to support the product and marketing with insights gained from analysing company data....,
Data Scientist Chapter Lead,ANZ Banking Group,,"Data Scientist, Chapter Lead - Data Ecosystem and Advanced Analytics – Data Services. ANZ is seeking an experienced Data Scientist to discover the information...",
Environmental Scientist,Coffey,,"Collating, analysing, interpreting and presenting data; This role is more than a desk job....",
Senior Data Scientist / Machine Learning Engineer,Intellify,,Being a senior data scientist at Intellify you are charged with both being a mentor and learning from fellow specialist data scientists in an ever evolving and...,"$120,000 - $160,000 a year"
Data Scientist,Hydrogen Group,,"Proven experience as a hands-on data scientist, formulating and delivering strategy and data solutions; A Data Scientist with strong development capability is...","$110,000 a year"
Data Scientist,Xpand Group,,"The Data Scientist will collaborate with business stakeholders on discovery activities, and deliver advanced analytic insights to improve customer experience...","$100,000 - $145,000 a year"
Research Scientist,"Department of Economic Development, Jobs, Transpor...",,"Experience in generating, collecting, storing, retrieving, analysing, and visualising spatial and aspatial data and information;...","$84,019 - $95,329 a year"
Lead Data Scientist - IT Neuroverse,Downer Group,,"Azure Data Factory, SSIS, Data Stage, BODS) and techniques. 10+ years of experience in a Data Science or Data focused role....",
Quantitative Data Analyst,Lendi,,Using a commercial focus to turn data trends into actionable insights. Please accompany your application with a personalized cover letter addressed to the Head...,
Graduate Environmental Engineer/Scientist,Kleinfelder,,"Evaluating and distilling field and analytical data,. We are seeking talented and curious scientists who want to advance their career with a global...",
Data Scientist,Michael Page,,The Data Scientist Role is a multifaceted one and supports a number of internal and external stakeholders....,"$100,000 - $120,000 a year"
Freelance Data Scientist,mOOvement,Brisbane QLD,"Empowering cattle producers with real-time data on their livestock, providing more valuable insights by integrating partner data, and becoming the essential...","$90,000 - $110,000 a year"
Financial Crime Data Scientist,ANZ Banking Group,Melbourne VIC,Data test automation capabilities. The Financial Crime Data Scientist will be part of the squad delivering the Financial Crime Data Hub (FCDH) capabilities with...,
Data Specialist and Scientist,Deakin University,Melbourne VIC,This role requires an experienced Data Specialist with sound knowledge working on the statistical data and involve in maintaining high standard of data record...,
Data Scientist,THE ICONIC,Sydney NSW,"We are looking for an experienced Data Scientist to work across several business areas including Recommendations, Customer Profiling, Forecasting and...",
Senior Data Scientist - Belong,Telstra,Melbourne City Centre VIC,"Ability to coach and mentor other data scientists. As our Senior Data Scientist, you will be part of our centralised Data n Analytics (DnA) team, embedded deep...",
Financial Crime Data Scientist,ANZ Banking Group,Melbourne VIC,Data test automation capabilities. The Financial Crime Data Scientist will be part of the squad delivering the Financial Crime Data Hub (FCDH) capabilities with...,
Data Specialist and Scientist,Deakin University,Melbourne VIC,This role requires an experienced Data Specialist with sound knowledge working on the statistical data and involve in maintaining high standard of data record...,
Data Scientist,Cover Genius,Sydney NSW,We’re seeking a senior data scientist to support the product and marketing with insights gained from analysing company data....,
Environmental Scientist - Boutique Environmental Consultancy,Ascension Global,,*About your new Company: * This national environmental consultancy continues to grow and win new major projects. As such they wish to build on their existing...,"$70,000 - $110,000 a year"
Hosital Scientist - In Situ Hybridisation,NSW Health Pathology,,"Scientists, technicians and support staff who quickly and accurately assess samples so clinical teams can make the best possible treatment decisions for...","$62,714 - $90,841 a year"
Fisheries Scientist (Executive Level 1),Department of Agriculture & Water Resources,,"Demonstrated experience in applying quantitative and qualitative methods associated with interpreting, understanding and modelling natural resource data....","$99,966 - $112,798 a year"
